,Story_ID,Emotion_Category,Rating_o,Rating_1,Rating_2,Rating_3
274,Arnold E 0.0,disgust,4.406896552,3.866666667,5.975,1.86
275,Arnold E 0.0,disgust,4.406896552,3.866666667,5.6,4.85
276,Arnold E 0.0,disgust,4.406896552,3.866666667,5.6,4.033333333
277,Arnold E 0.0,disgust,4.406896552,3.866666667,4.6,4.3
278,Arnold E 0.0,disgust,4.406896552,4.0,4.325,1.575
279,Arnold E 0.0,disgust,4.406896552,4.0,2.125,0.125
280,Arnold E 0.0,disgust,4.406896552,4.0,1.725,1.525
281,Arnold E 0.0,disgust,4.406896552,1.116666667,0.366666667,0.725
282,Arnold E 0.0,disgust,4.406896552,1.116666667,2.0,0.1
283,Arnold E 0.0,disgust,4.406896552,1.116666667,0.166666667,0.0
284,Arnold E 0.0,disgust,4.406896552,3.816666667,5.05,3.18
285,Arnold E 0.0,disgust,4.406896552,3.816666667,5.05,2.45
286,Arnold E 0.0,disgust,4.406896552,3.816666667,0.0,0.0
287,Arnold E 0.0,disgust,4.406896552,3.816666667,4.775,4.08
288,Arnold E 0.0,disgust,4.406896552,0.35,0.375,0.05
289,Arnold E 0.0,disgust,4.406896552,0.35,1.833333333,1.7
290,Arnold E 0.0,disgust,4.406896552,0.35,1.375,0.425
291,Arnold E 0.0,disgust,4.406896552,0.35,1.375,0.625
292,Arnold E 0.0,disgust,4.406896552,0.016666667,0.0,0.0
293,Arnold E 0.0,disgust,4.406896552,0.016666667,0.0,0.55
294,Arnold E 0.0,disgust,4.406896552,4.416666667,5.2,4.9
295,Arnold E 0.0,disgust,4.406896552,4.416666667,5.2,1.36
296,Arnold E 0.0,disgust,4.406896552,3.833333333,5.225,3.975
297,Arnold E 0.0,disgust,4.406896552,3.833333333,0.0,1.025
298,Arnold E 0.0,disgust,4.406896552,3.833333333,0.0,0.0
299,Arnold E 0.0,disgust,4.406896552,3.833333333,4.475,1.575
300,Arnold E 0.0,disgust,4.406896552,2.433333333,1.525,0.075
301,Arnold E 0.0,disgust,4.406896552,2.433333333,0.533333333,1.275
302,Arnold E 0.0,disgust,4.406896552,2.433333333,0.533333333,1.25
303,Arnold E 0.0,disgust,4.406896552,2.433333333,0.025,0.0
304,Arnold E 0.0,disgust,4.406896552,5.02,0.0,0.65
305,Arnold E 0.0,disgust,4.406896552,5.02,0.933333333,3.025
306,Arnold E 0.0,disgust,4.406896552,5.02,0.933333333,2.95
307,Arnold E 0.0,disgust,4.406896552,5.02,3.966666667,4.125
308,Arnold E 0.0,disgust,4.406896552,5.02,3.966666667,4.25
309,Arnold E 0.0,disgust,4.406896552,0.66,1.575,0.625
310,Arnold E 0.0,disgust,4.406896552,0.66,1.575,0.0
311,Arnold E 0.0,disgust,4.406896552,0.66,0.0,0.0
312,Arnold E 0.0,disgust,4.406896552,5.816666667,3.225,0.0
313,Arnold E 0.0,disgust,4.406896552,5.816666667,2.266666667,4.85
314,Arnold E 0.0,disgust,4.406896552,5.816666667,3.0,0.4
315,Arnold E 0.0,disgust,4.406896552,4.8,4.375,4.075
316,Arnold E 0.0,disgust,4.406896552,4.8,3.725,6.75
317,Arnold E 0.0,disgust,4.406896552,4.8,6.333333333,4.9
318,Arnold E 0.0,disgust,4.406896552,3.916666667,2.45,1.0
319,Arnold E 0.0,disgust,4.406896552,3.916666667,3.275,5.325
320,Arnold E 0.0,disgust,4.406896552,4.014285714,4.166666667,5.68
321,Arnold E 0.0,disgust,4.406896552,4.014285714,5.75,6.175
322,Arnold E 0.0,disgust,4.406896552,5.266666667,3.0,4.025
323,Arnold E 0.0,disgust,4.406896552,5.266666667,4.025,0.0
324,Arnold E 0.0,disgust,4.406896552,3.028571429,0.55,0.075
325,Arnold E 0.0,disgust,4.406896552,3.028571429,0.55,1.575
326,Arnold E 0.0,disgust,4.406896552,3.028571429,1.025,0.4
327,Arnold E 0.0,disgust,4.406896552,3.028571429,3.775,1.125
328,Arnold E 0.0,disgust,4.406896552,5.342857143,3.25,3.525
329,Arnold E 0.0,disgust,4.406896552,5.342857143,1.675,0.0
330,Arnold E 0.0,disgust,4.406896552,0.266666667,0.125,1.275
331,Arnold E 0.0,disgust,4.406896552,0.266666667,0.233333333,0.525
332,Arnold E 0.0,disgust,4.406896552,1.55,4.333333333,1.675
333,Arnold E 0.0,disgust,4.406896552,1.55,4.525,5.525
334,Arnold E 0.0,disgust,4.406896552,1.55,4.75,1.25
335,Arnold E 0.0,disgust,4.406896552,3.95,4.9,3.44
336,Arnold E 0.0,disgust,4.406896552,3.95,4.475,0.95
337,Arnold E 0.0,disgust,4.406896552,3.95,4.3,0.575
338,Arnold E 0.0,disgust,4.406896552,3.728571429,4.1,5.075
339,Arnold E 0.0,disgust,4.406896552,3.728571429,4.5,4.1
340,Arnold E 0.0,disgust,4.406896552,3.728571429,5.966666667,2.8
341,Arnold E 0.0,disgust,4.406896552,0.35,0.3,1.0
342,Arnold E 0.0,disgust,4.406896552,0.35,0.3,0.1
343,Arnold E 0.0,disgust,4.406896552,0.35,0.0,0.34
344,Arnold E 0.0,disgust,4.406896552,5.033333333,5.6,3.5
345,Arnold E 0.0,disgust,4.406896552,5.033333333,5.025,2.7
346,Arnold E 0.0,disgust,4.406896552,3.385714286,3.566666667,4.64
347,Arnold E 0.0,disgust,4.406896552,3.385714286,4.666666667,2.625
348,Arnold H 0.0,disgust,5.946875,6.25,6.1,6.9
349,Arnold H 0.0,disgust,5.946875,6.25,6.1,6.575
350,Arnold H 0.0,disgust,5.946875,6.25,5.775,5.9
351,Arnold H 0.0,disgust,5.946875,6.2,3.633333333,4.15
352,Arnold H 0.0,disgust,5.946875,6.2,0.966666667,1.725
353,Arnold H 0.0,disgust,5.946875,6.2,4.233333333,6.225
354,Arnold H 0.0,disgust,5.946875,5.185714286,6.1,6.1
355,Arnold H 0.0,disgust,5.946875,5.185714286,6.266666667,6.125
356,Arnold H 0.0,disgust,5.946875,5.185714286,6.875,6.08
357,Arnold H 0.0,disgust,5.946875,0.185714286,0.0,1.0
358,Arnold H 0.0,disgust,5.946875,0.185714286,0.0,0.075
359,Arnold H 0.0,disgust,5.946875,0.185714286,0.0,0.0
360,Arnold H 0.0,disgust,5.946875,6.366666667,6.45,6.5
361,Arnold H 0.0,disgust,5.946875,6.366666667,6.45,
362,Arnold H 0.0,disgust,5.946875,6.366666667,4.333333333,5.375
363,Arnold H 0.0,disgust,5.946875,6.366666667,4.333333333,3.5
364,Arnold H 0.0,disgust,5.946875,6.366666667,7.0,3.45
365,Arnold H 0.0,disgust,5.946875,6.214285714,5.6,4.375
